
Log started on 2024-11-30 14:14:13.257298
════════════════════════════════════════════════════════════════════════════════
Starting TCP Port Scan
────────────────────────────────────────────────────────────────────────────────
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:86
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:87
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:88
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:89
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:90
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:91
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:92
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:93
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:94
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:95
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:96
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:97
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:98
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:99
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:100
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:101
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:102
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:103
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:104
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:105
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:106
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:107
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:108
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:109
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:110
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:111
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:112
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:113
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:114
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:115
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:116
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:117
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:118
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:119
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:120
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:121
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:122
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:123
